,year,round,draft_pick,draft_team,player,player_url,position,age,college,college_stats_url,pic_url,bday,hs,height,weight,height_decimal,birthplace_town,birthplace_state,home_state,conference,bmi,Career_year,Career_school,Career_conference,Career_class,Career_position,Career_games,Career_completions,Career_attempts,Career_comp_pct,Career_passing_yds,Career_yds_per_att,Career_adj_yds_per_att,Career_passing_td,Career_interceptions,Career_pass_eff_rate,Best_year,Best_school,Best_conference,Best_class,Best_position,Best_games,Best_completions,Best_attempts,Best_comp_pct,Best_passing_yds,Best_yds_per_att,Best_adj_yds_per_att,Best_passing_td,Best_interceptions,Best_pass_eff_rate,Career_rush_attempts,Career_rush_yds,Career_rush_avg,Career_rush_td,Career_receptions,Career_rec_yds,Career_rec_avg,Career_rec_td,Career_r_total_plays,Career_r+total_yds,Career_r_total_avg,Career_r_total_td
30,2020,7,244,MIN,Nate Stanley,https://www.pro-football-reference.com/players/S/StanNa00.htm,QB,23,Iowa,http://www.sports-reference.com/cfb/players/nathan-stanley-2.html,https://www.pro-football-reference.com/req/20180910/images/headshots/StanNa00_2021.jpg,8/26/1997,,6'4,235,6.33,,,,BIG10,28.6,Career,Iowa,Big Ten,SR,QB,44,673,1155,58.3,8297,7.2,7.5,68,23,134.1,2019,Iowa,Big Ten,SR,QB,13,237,399,59.4,2951,7.4,7.4,16,7,131.2,161,-104,-0.6,2,0,-13,,0,161,-117,-0.7,2
31,2019,1,1,ARI,Kyler Murray,https://www.pro-football-reference.com/players/M/MurrKy00.htm,QB,22,Oklahoma,http://www.sports-reference.com/cfb/players/kyler-murray-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/MurrKy00_2022.jpg,8/7/1997,"Allen,TX",5'10,207,5.83,Bedford,"TX, ",TX,BIG12,29.7,Career,Overall,Big 12,JR,QB,29,350,519,67.4,5406,10.4,11.1,50,14,181.3,2018,Oklahoma,Big 12,JR,QB,14,260,377,69,4361,11.6,13,42,7,199.2,207,1478,7.1,13,0,0,,0,207,1478,7.1,13
32,2019,1,6,NYG,Daniel Jones,https://www.pro-football-reference.com/players/J/JoneDa05.htm,QB,22,Duke,http://www.sports-reference.com/cfb/players/daniel-jones-4.html,https://www.pro-football-reference.com/req/20180910/images/headshots/JoneDa05_2022.jpg,5/27/1997,"Charlotte Latin,NC",6'5,221,6.42,Charlotte,"NC, ",NC,ACC,26.2,Career,Duke,ACC,JR,QB,36,764,1275,59.9,8201,6.4,6.2,52,29,122.9,2018,Duke,ACC,JR,QB,11,237,392,60.5,2674,6.8,6.9,22,9,131.7,406,1323,3.3,17,2,6,3,0,408,1329,3.3,17
33,2019,1,15,WAS,Dwayne Haskins,https://www.pro-football-reference.com/players/H/HaskDw00.htm,QB,22,Ohio St.,http://www.sports-reference.com/cfb/players/dwayne-haskins-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/HaskDw00_2021.jpg,5/3/1997,"Bullis School,MD",6'4,230,6.33,Highland Park,"NJ, ",NJ,BIG10,28,Career,Ohio State,Big Ten,SO,QB,22,413,590,70,5396,9.1,10.3,54,9,174,2018,Ohio State,Big Ten,SO,QB,14,373,533,70,4831,9.1,10.3,50,8,174.1,103,194,1.9,4,0,0,,0,103,194,1.9,4
34,2019,2,42,DEN,Drew Lock,https://www.pro-football-reference.com/players/L/LockDr00.htm,QB,22,Missouri,http://www.sports-reference.com/cfb/players/drew-lock-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/LockDr00_2022.jpg,11/10/1996,"Lee's Summit,MO",6'4,228,6.33,Columbia,"MO, ",MO,SEC,27.8,Career,Missouri,SEC,SR,QB,50,883,1553,56.9,12193,7.9,8,99,39,138.8,2018,Missouri,SEC,SR,QB,13,275,437,62.9,3498,8,8.5,28,8,147.7,202,437,2.2,9,1,21,21,1,203,458,2.3,10
35,2019,3,100,CAR,Will Grier,https://www.pro-football-reference.com/players/G/GrieWi00.htm,QB,24,West Virginia,http://www.sports-reference.com/cfb/players/will-grier-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/GrieWi00_2022.jpg,4/3/1995,"Davidson Day,NC",6'1,220,6.08,Davidson,"NC, ",NC,BIG12,29.1,Career,Overall,Big 12,SR,QB,28,621,945,65.7,8556,9.1,9.7,81,23,165.2,2018,West Virginia,Big 12,SR,QB,11,266,397,67,3864,9.7,10.7,37,8,175.5,147,148,1,7,0,0,,0,147,148,1,7
36,2019,4,104,CIN,Ryan Finley,https://www.pro-football-reference.com/players/F/FinlRy00.htm,QB,24,North Carolina St.,http://www.sports-reference.com/cfb/players/ryan-finley-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/FinlRy00_2020.jpg,12/26/1994,"Paradise Valley,AZ",6'4,207,6.33,Phoenix,"AZ, ",AZ,ACC,25.2,Career,Overall,ACC,SR,QB,46,938,1461,64.2,11147,7.6,7.6,63,30,138.4,2018,North Carolina State,ACC,SR,QB,13,326,484,67.4,3928,8.1,8.1,25,11,148,214,382,1.8,5,2,18,9,0,216,400,1.9,5
37,2019,4,133,NWE,Jarrett Stidham,https://www.pro-football-reference.com/players/S/StidJa00.htm,QB,23,Auburn,http://www.sports-reference.com/cfb/players/jarrett-stidham-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/StidJa00_2022.jpg,8/8/1996,"Stephenville,TX",6'3,214,6.25,Corbin,"KY, ",KY,SEC,26.7,Career,Overall,SEC,JR,QB,37,545,848,64.3,7217,8.5,9,48,13,151.4,2018,Auburn,SEC,JR,QB,13,224,369,60.7,2794,7.6,7.9,18,5,137.7,211,224,1.1,9,0,0,,0,211,224,1.1,9
38,2019,5,167,PHI,Clayton Thorson,https://www.pro-football-reference.com/players/T/ThorCl00.htm,QB,24,Northwestern,http://www.sports-reference.com/cfb/players/clayton-thorson-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/ThorCl00_2021.jpg,6/15/1995,,6'4,222,6.33,,,,BIG10,27,Career,Northwestern,Big Ten,SR,QB,53,991,1696,58.4,10731,6.3,5.9,61,45,118.1,2018,Northwestern,Big Ten,SR,QB,14,299,489,61.1,3183,6.5,5.8,17,15,121.2,362,408,1.1,27,2,24,12,0,364,432,1.2,27
39,2019,6,178,JAX,Gardner Minshew II,https://www.pro-football-reference.com/players/M/MinsGa00.htm,QB,23,Washington St.,http://www.sports-reference.com/cfb/players/gardner-minshew-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/MinsGa00_2022.jpg,5/16/1996,"Brandon,MS",6'1,225,6.08,Flowood,"MS, ",MS,PAC12,29.7,Career,Overall,Pac-12,SR,QB,30,761,1168,65.2,8266,7.1,7.4,62,20,138.7,2018,Washington State,Pac-12,SR,QB,13,468,662,70.7,4779,7.2,7.8,38,9,147.6,96,43,0.4,4,0,0,,0,96,43,0.4,4
40,2019,6,197,BAL,Trace McSorley,https://www.pro-football-reference.com/players/M/McSoTr00.htm,QB,24,Penn St.,http://www.sports-reference.com/cfb/players/trace-mcsorley-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/McSoTr00_2022.jpg,8/23/1995,"Briar Woods,VA",6'0,202,6,Centreville,"VA, ",VA,BIG10,27.4,Career,Penn State,Big Ten,SR,QB,46,720,1215,59.3,9899,8.1,8.5,77,25,144.5,2018,Penn State,Big Ten,SR,QB,13,192,361,53.2,2530,7,7.1,18,7,124.6,473,1697,3.6,30,0,0,,0,473,1697,3.6,30
41,2018,1,1,CLE,Baker Mayfield,https://www.pro-football-reference.com/players/M/MayfBa00.htm,QB,23,Oklahoma,http://www.sports-reference.com/cfb/players/baker-mayfield-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/MayfBa00_2020.jpg,4/14/1995,"Lake Travis,TX",6'1,215,6.08,Austin,"TX, ",TX,BIG12,28.4,Career,Overall,Big 12,SR,QB,48,1026,1497,68.5,14607,9.8,10.6,131,30,175.4,2017,Oklahoma,Big 12,SR,QB,14,285,404,70.5,4627,11.5,12.9,43,6,198.9,404,1083,2.7,21,1,2,2,1,405,1085,2.7,22
42,2018,1,3,NYJ,Sam Darnold,https://www.pro-football-reference.com/players/D/DarnSa00.htm,QB,21,USC,http://www.sports-reference.com/cfb/players/sam-darnold-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/DarnSa00_2022.jpg,6/5/1997,"San Clemente,CA",6'3,225,6.25,Capistrano Beach,"CA, ",CA,PAC12,28.1,Career,USC,Pac-12,SO,QB,27,549,846,64.9,7229,8.5,8.7,57,22,153.7,2017,USC,Pac-12,SO,QB,14,303,480,63.1,4143,8.6,8.5,26,13,148.1,137,332,2.4,7,0,0,,0,137,332,2.4,7
43,2018,1,7,BUF,Josh Allen,https://www.pro-football-reference.com/players/A/AlleJo02.htm,QB,22,Wyoming,http://www.sports-reference.com/cfb/players/josh-allen-7.html,https://www.pro-football-reference.com/req/20180910/images/headshots/AlleJo02_2022.jpg,5/21/1996,"Firebaugh,CA",6'5,237,6.42,Firebaugh,"CA, ",CA,MW,28.1,Career,Wyoming,MWC,JR,QB,27,365,649,56.2,5066,7.8,7.7,44,21,137.7,2017,Wyoming,MWC,JR,QB,11,152,270,56.3,1812,6.7,6.9,16,6,127.8,237,767,3.2,12,2,6,3,1,239,773,3.2,13
44,2018,1,10,ARI,Josh Rosen,https://www.pro-football-reference.com/players/R/RoseJo01.htm,QB,21,UCLA,http://www.sports-reference.com/cfb/players/josh-rosen-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/RoseJo01_2021.jpg,2/10/1997,"St. John Bosco,CA",6'4,226,6.33,Torrance,"CA, ",CA,PAC12,27.5,Career,UCLA,Pac-12,JR,QB,30,712,1170,60.9,9340,8,8,59,26,140.1,2017,UCLA,Pac-12,JR,QB,11,283,452,62.6,3756,8.3,8.5,26,10,147,109,-154,-1.4,6,0,0,,0,109,-154,-1.4,6
45,2018,1,32,BAL,Lamar Jackson,https://www.pro-football-reference.com/players/J/JackLa00.htm,QB,21,Louisville,http://www.sports-reference.com/cfb/players/lamar-jackson-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/JackLa00_2022.jpg,1/7/1997,"Boynton Beach,FL",6'2,212,6.17,Pompano Beach,"FL, ",FL,ACC,27.2,Career,Louisville,ACC,JR,QB,38,619,1086,57,9043,8.3,8.5,69,27,142.9,2017,Louisville,ACC,JR,QB,13,254,430,59.1,3660,8.5,8.7,27,10,146.6,655,4132,6.3,50,0,0,,0,655,4132,6.3,50
46,2018,3,76,PIT,Mason Rudolph,https://www.pro-football-reference.com/players/R/RudoMa00.htm,QB,23,Oklahoma St.,http://www.sports-reference.com/cfb/players/mason-rudolph-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/RudoMa00_2021.jpg,7/17/1995,"Northwestern,SC",6'5,235,6.42,Rock Hill,"SC, ",SC,BIG12,27.8,Career,Oklahoma State,Big 12,SR,QB,42,915,1447,63.2,13618,9.4,9.9,92,26,159.7,2017,Oklahoma State,Big 12,SR,QB,13,318,489,65,4904,10,10.7,37,9,170.6,225,28,0.1,17,3,53,17.7,0,228,81,0.4,17
47,2018,5,171,DAL,Mike White,https://www.pro-football-reference.com/players/W/WhitMi01.htm,QB,23,Western Kentucky,http://www.sports-reference.com/cfb/players/mike-white-6.html,https://www.pro-football-reference.com/req/20180910/images/headshots/WhitMi01_2022.jpg,3/25/1995,,6'4,218,6.33,Pembroke Pines,"FL, ",FL,CUSA,26.6,Career,Overall,CUSA,SR,QB,44,863,1393,62,11262,8.1,8.1,74,31,142.9,2017,Western Kentucky,CUSA,SR,QB,13,368,560,65.7,4177,7.5,7.7,26,8,140.8,136,-470,-3.5,6,0,0,,0,136,-470,-3.5,6
48,2018,6,199,TEN,Luke Falk,https://www.pro-football-reference.com/players/F/FalkLu00.htm,QB,23,Washington St.,http://www.sports-reference.com/cfb/players/luke-falk-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/FalkLu00_2019.jpg,12/28/1994,"Logan,UT",6'4,215,6.33,Logan,"UT, ",UT,PAC12,26.2,Career,Washington State,Pac-12,SR,QB,42,1403,2054,68.3,14481,7.1,7.4,119,39,142.8,2017,Washington State,Pac-12,SR,QB,12,357,534,66.9,3593,6.7,6.8,30,13,137,251,-400,-1.6,4,0,0,,0,251,-400,-1.6,4
49,2018,6,203,JAX,Tanner Lee,https://www.pro-football-reference.com/players/L/LeexTa00.htm,QB,23,Nebraska,http://www.sports-reference.com/cfb/players/tanner-lee-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/LeexTa00_2019.jpg,2/14/1995,,6'4,220,6.33,New Orleans,"LA, ",LA,BIG10,26.8,Career,Overall,Big Ten,JR,QB,31,574,1040,55.2,6744,6.5,5.8,46,37,117.1,2017,Nebraska,Big Ten,JR,QB,12,246,428,57.5,3143,7.3,6.7,23,16,129.4,89,-384,-4.3,2,0,0,,0,89,-384,-4.3,2
50,2018,7,219,NWE,Danny Etling,https://www.pro-football-reference.com/players/E/EtliDa00.htm,QB,24,LSU,http://www.sports-reference.com/cfb/players/danny-etling-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/EtliDa00_2022.jpg,7/22/1994,,6'3,220,6.25,Terre Haute,"IN, ",IN,SEC,27.5,Career,Overall,SEC,SR,QB,37,563,973,57.9,7076,7.3,7.3,43,19,129.6,2017,LSU,SEC,SR,QB,13,165,275,60,2463,9,9.8,16,2,153,201,70,0.3,7,0,0,,0,201,70,0.3,7
51,2018,7,220,SEA,Alex McGough,https://www.pro-football-reference.com/players/M/McGoAl00.htm,QB,22,Florida International,http://www.sports-reference.com/cfb/players/alex-mcgough-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/McGoAl00_2021.jpg,11/19/1995,,6'3,214,6.25,Tampa,"FL, ",FL,CUSA,26.7,Career,Florida International,CUSA,SR,QB,46,807,1335,60.4,9091,6.8,6.5,65,37,128.2,2017,Florida International,CUSA,SR,QB,13,232,355,65.4,2798,7.9,7.8,17,8,142.9,308,535,1.7,16,0,0,,0,308,535,1.7,16
52,2018,7,249,CIN,Logan Woodside,https://www.pro-football-reference.com/players/W/WoodLo00.htm,QB,23,Toledo,http://www.sports-reference.com/cfb/players/logan-woodside-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/WoodLo00_2022.jpg,1/27/1995,,6'1,213,6.08,Frankfort,"KY, ",KY,MAC,28.1,Career,Toledo,MAC,SR,QB,43,759,1166,65.1,10514,9,9.6,93,25,162.9,2017,Toledo,MAC,SR,QB,14,264,411,64.2,3882,9.4,9.9,28,8,162.2,146,88,0.6,4,0,0,,0,146,88,0.6,4
53,2017,1,2,CHI,Mitchell Trubisky,https://www.pro-football-reference.com/players/T/TrubMi00.htm,QB,23,North Carolina,http://www.sports-reference.com/cfb/players/mitch-trubisky-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/TrubMi00_2022.jpg,8/20/1994,"Mentor,OH",6'2,220,6.17,Mentor,"OH, ",OH,ACC,28.2,Career,North Carolina,ACC,JR,QB,31,386,572,67.5,4762,8.3,9,41,10,157.6,2016,North Carolina,ACC,JR,QB,13,304,447,68,3748,8.4,9.1,30,6,157.9,120,439,3.7,8,1,8,8,0,121,447,3.7,8
54,2017,1,10,KAN,Patrick Mahomes,https://www.pro-football-reference.com/players/M/MahoPa00.htm,QB,21,Texas Tech,http://www.sports-reference.com/cfb/players/patrick-mahomes-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/MahoPa00_2022.jpg,9/17/1995,"Whitehouse,TX",6'3,227,6.25,Tyler,"TX, ",TX,BIG12,28.4,Career,Texas Tech,Big 12,JR,QB,32,857,1349,63.5,11252,8.3,8.8,93,29,152,2016,Texas Tech,Big 12,JR,QB,12,388,591,65.7,5052,8.5,9.2,41,10,157,308,845,2.7,22,1,3,3,0,309,848,2.7,22
55,2017,1,12,HOU,Deshaun Watson,https://www.pro-football-reference.com/players/W/WatsDe00.htm,QB,21,Clemson,http://www.sports-reference.com/cfb/players/deshaun-watson-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/WatsDe00_2022.jpg,9/14/1995,"Gainesville,GA",6'2,215,6.17,Gainesville,"GA, ",GA,ACC,27.6,Career,Clemson,ACC,JR,QB,38,814,1207,67.4,10168,8.4,8.7,90,32,157.5,2016,Clemson,ACC,JR,QB,15,388,579,67,4593,7.9,8,41,17,151.1,435,1934,4.4,26,0,0,,0,435,1934,4.4,26
56,2017,2,52,CLE,DeShone Kizer,https://www.pro-football-reference.com/players/K/KizeDe00.htm,QB,21,Notre Dame,http://www.sports-reference.com/cfb/players/deshone-kizer-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/KizeDe00_2019.jpg,1/3/1996,"Central Catholic,OH",6'4,235,6.33,Toledo,"OH, ",OH,Independents,28.6,Career,Notre Dame,Ind,JR,QB,25,422,695,60.7,5805,8.4,8.5,47,19,147.7,2016,Notre Dame,Ind,JR,QB,12,212,361,58.7,2925,8.1,8.4,26,9,145.6,264,997,3.8,18,1,4,4,0,265,1001,3.8,18
57,2017,3,87,NYG,Davis Webb,https://www.pro-football-reference.com/players/W/WebbDa00.htm,QB,22,California,http://www.sports-reference.com/cfb/players/davis-webb-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/WebbDa00_2022.jpg,1/22/1995,"Prosper,TX",6'5,225,6.42,Prosper,"TX, ",TX,PAC12,26.7,Career,Overall,Pac-12,SR,QB,35,841,1367,61.5,9852,7.2,7.3,83,34,137.1,2016,California,Pac-12,SR,QB,12,382,620,61.6,4295,6.9,7.3,37,12,135.6,77,-100,-1.3,9,1,-10,-10,0,78,-110,-1.4,9
58,2017,3,104,SFO,C.J. Beathard,https://www.pro-football-reference.com/players/B/BeatC.00.htm,QB,23,Iowa,http://www.sports-reference.com/cfb/players/cj-beathard-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/BeatC.00_2021.jpg,11/16/1993,"Battle Ground Academy,TN",6'2,215,6.17,Franklin,"TN, ",TN,BIG10,27.6,Career,Iowa,Big Ten,SR,QB,40,454,782,58.1,5562,7.1,7,40,19,129.8,2016,Iowa,Big Ten,SR,QB,13,170,301,56.5,1929,6.4,6,17,10,122.3,224,429,1.9,10,0,0,,0,224,429,1.9,10
59,2017,4,135,PIT,Joshua Dobbs,https://www.pro-football-reference.com/players/D/DobbJo00.htm,QB,22,Tennessee,http://www.sports-reference.com/cfb/players/joshua-dobbs-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/DobbJo00_2022.jpg,1/26/1995,"Alpharetta,GA",6'3,216,6.25,Alpharetta,"GA, ",GA,SEC,27,Career,Tennessee,SEC,SR,QB,37,614,999,61.5,7138,7.1,6.9,53,29,133.2,2016,Tennessee,SEC,SR,QB,13,225,357,63,2946,8.3,8.3,27,12,150.6,438,2160,4.9,32,2,62,31,2,440,2222,5.1,34
60,2017,5,171,BUF,Nathan Peterman,https://www.pro-football-reference.com/players/P/PeteNa00.htm,QB,23,Pittsburgh,http://www.sports-reference.com/cfb/players/nathan-peterman-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/PeteNa00_2022.jpg,5/4/1994,"Bartram Trail,FL",6'2,225,6.17,Jacksonville,"FL, ",FL,ACC,28.9,Career,Overall,ACC,SR,QB,35,398,662,60.1,5236,7.9,8.2,47,17,144.9,2016,Pitt,ACC,SR,QB,13,185,306,60.5,2855,9.3,10.1,27,7,163.4,172,525,3.1,5,1,13,13,0,173,538,3.1,5
61,2017,6,215,DET,Brad Kaaya,https://www.pro-football-reference.com/players/K/KaayBr00.htm,QB,22,Miami (FL),http://www.sports-reference.com/cfb/players/brad-kaaya-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/KaayBr00_2018.jpg,9/3/1995,"Chaminade,CA",6'4,215,6.33,West Hills,"CA, ",CA,ACC,26.2,Career,Miami (FL),ACC,JR,QB,38,720,1188,60.6,9968,8.4,8.6,69,24,146.2,2016,Miami (FL),ACC,JR,QB,13,261,421,62,3532,8.4,8.9,27,7,150.3,94,-386,-4.1,4,0,0,,0,94,-386,-4.1,4
62,2017,7,253,DEN,Chad Kelly,https://www.pro-football-reference.com/players/K/KellCh00.htm,QB,23,Mississippi,http://www.sports-reference.com/cfb/players/chad-kelly-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/KellCh00_2020.jpg,3/26/1994,"St. Joseph's Collegiate Institute,NY",6'2,216,6.17,Buffalo,"NY, ",NY,SEC,27.7,Career,Overall,SEC,SR,QB,27,513,803,63.9,6858,8.5,8.6,50,21,150.9,2016,Ole Miss,SEC,SR,QB,9,205,328,62.5,2758,8.4,8.5,19,8,147.4,203,958,4.7,16,0,0,,0,203,958,4.7,16
63,2016,1,1,LAR,Jared Goff,https://www.pro-football-reference.com/players/G/GoffJa00.htm,QB,21,California,http://www.sports-reference.com/cfb/players/jared-goff-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/GoffJa00_2022.jpg,10/14/1994,"Marin Catholic,CA",6'4,217,6.33,Novato,"CA, ",CA,PAC12,26.4,Career,California,Pac-12,JR,QB,37,977,1568,62.3,12195,7.8,8.1,96,30,144,2015,California,Pac-12,JR,QB,13,341,529,64.5,4714,8.9,9.4,43,13,161.2,170,-114,-0.7,1,2,10,5,0,172,-104,-0.6,1
64,2016,1,2,PHI,Carson Wentz,https://www.pro-football-reference.com/players/W/WentCa00.htm,QB,23,North Dakota St.,http://www.sports-reference.com/cfb/players/carson-wentz-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/WentCa00_2022.jpg,12/30/1992,"Bismarck Century,ND",6'5,237,6.42,Raleigh,"NC, ",NC,FCS,28.1,Career,North Dakota State,MVC,SR,QB,42,392,612,64.1,5115,8.4,8.8,45,14,153.9,2015,North Dakota State,MVC,SR,QB,7,130,208,62.5,1651,7.9,8.7,17,4,152.3,216,1028,4.8,13,1,16,16,1,217,1044,4.8,14
65,2016,1,26,DEN,Paxton Lynch,https://www.pro-football-reference.com/players/L/LyncPa00.htm,QB,22,Memphis,http://www.sports-reference.com/cfb/players/paxton-lynch-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/LyncPa00_2020.jpg,2/12/1994,"Trinity Christian,FL",6'7,244,6.58,San Antonio,"TX, ",TX,AAC,27.5,Career,Memphis,American,JR,QB,38,758,1205,62.9,8863,7.4,7.5,59,23,137,2015,Memphis,American,JR,QB,13,296,443,66.8,3776,8.5,9.4,28,4,157.5,288,687,2.4,17,0,0,,0,288,687,2.4,17
66,2016,2,51,NYJ,Christian Hackenberg,https://www.pro-football-reference.com/players/H/HackCh01.htm,QB,21,Penn St.,http://www.sports-reference.com/cfb/players/christian-hackenberg-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/HackCh01_2017.jpg,2/14/1995,"Fork Union Military Academy,VA",6'4,228,6.33,Lehighton,"PA, ",PA,BIG10,27.8,Career,Penn State,Big Ten,JR,QB,38,693,1235,56.1,8457,6.8,6.5,48,31,121.4,2015,Penn State,Big Ten,JR,QB,13,192,359,53.5,2525,7,7.2,16,6,123.9,208,-242,-1.2,6,1,14,14,1,209,-228,-1.1,7
67,2016,3,91,NWE,Jacoby Brissett,https://www.pro-football-reference.com/players/B/BrisJa00.htm,QB,23,North Carolina St.,http://www.sports-reference.com/cfb/players/jacoby-brissett-2.html,https://www.pro-football-reference.com/req/20180910/images/headshots/BrisJa00_2022.jpg,12/11/1992,"Dwyer,FL",6'4,235,6.33,West Palm Beach,"FL, ",FL,ACC,28.6,Career,Overall,ACC,SR,QB,39,499,839,59.5,5723,6.8,7.1,46,15,131.3,2015,North Carolina State,ACC,SR,QB,13,237,395,60,2662,6.7,7.1,20,6,130.3,283,902,3.2,12,1,20,20,0,284,922,3.2,12
68,2016,3,93,CLE,Cody Kessler,https://www.pro-football-reference.com/players/K/KessCo00.htm,QB,23,USC,http://www.sports-reference.com/cfb/players/cody-kessler-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/KessCo00_2019.jpg,5/11/1993,"Centennial,CA",6'1,215,6.08,Bakersfield,"CA, ",CA,PAC12,28.4,Career,USC,Pac-12,SR,QB,51,851,1261,67.5,10339,8.2,8.9,88,19,156.4,2015,USC,Pac-12,SR,QB,14,298,446,66.8,3536,7.9,8.5,29,7,151.7,158,-425,-2.7,7,0,0,,0,158,-425,-2.7,7
69,2016,4,100,LVR,Connor Cook,https://www.pro-football-reference.com/players/C/CookCo00.htm,QB,23,Michigan St.,http://www.sports-reference.com/cfb/players/connor-cook-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/CookCo00_2018.jpg,1/29/1993,"Walsh Jesuit,OH",6'4,215,6.33,Hinckley,"OH, ",OH,BIG10,26.2,Career,Michigan State,Big Ten,SR,QB,43,673,1170,57.5,9194,7.9,8.2,71,22,139.8,2015,Michigan State,Big Ten,SR,QB,13,229,408,56.1,3131,7.7,8.1,24,7,136.6,176,209,1.2,3,0,0,,0,176,209,1.2,3
70,2016,4,135,DAL,Dak Prescott,https://www.pro-football-reference.com/players/P/PresDa01.htm,QB,23,Mississippi St.,http://www.sports-reference.com/cfb/players/dak-prescott-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/PresDa01_2022.jpg,7/29/1993,"Haughton,LA",6'2,238,6.17,Sulphur,"LA, ",LA,SEC,30.5,Career,Mississippi State,SEC,SR,QB,49,734,1169,62.8,9376,8,8.3,70,23,146,2015,Mississippi State,SEC,SR,QB,13,316,477,66.2,3793,8,8.7,29,5,151,536,2521,4.7,41,4,88,22,3,540,2609,4.8,44
71,2016,4,139,BUF,Cardale Jones,https://www.pro-football-reference.com/players/J/JoneCa01.htm,QB,23,Ohio St.,http://www.sports-reference.com/cfb/players/cardale-jones-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/JoneCa01_2019.jpg,10/29/1992,"Glenville,OH,Fork Union Military Academy,VA",6'5,250,6.42,Cleveland,"OH, ",OH,BIG10,29.6,Career,Ohio State,Big Ten,JR,QB,23,166,269,61.7,2322,8.6,8.6,15,7,147.4,2015,Ohio State,Big Ten,JR,QB,10,109,175,62.3,1459,8.3,8,8,5,141.7,153,617,4,4,0,0,,0,153,617,4,4
72,2016,5,162,KAN,Kevin Hogan,https://www.pro-football-reference.com/players/H/HogaKe00.htm,QB,23,Stanford,http://www.sports-reference.com/cfb/players/kevin-hogan-2.html,https://www.pro-football-reference.com/req/20180910/images/headshots/HogaKe00_2022.jpg,10/20/1992,"Gonzaga College,DC",6'3,218,6.25,McLean,"VA, ",VA,PAC12,27.2,Career,Stanford,Pac-12,SR,QB,51,727,1103,65.9,9385,8.5,8.7,75,29,154.6,2015,Stanford,Pac-12,SR,QB,14,206,304,67.8,2867,9.4,10,27,8,171,315,1249,4,15,1,11,11,1,316,1260,4,16
73,2016,6,187,WAS,Nate Sudfeld,https://www.pro-football-reference.com/players/S/SudfNa00.htm,QB,22,Indiana,http://www.sports-reference.com/cfb/players/nate-sudfeld-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/SudfNa00_2021.jpg,10/7/1993,"Modesto Christian,CA",6'6,227,6.5,Modesto,"CA, ",CA,BIG10,26.2,Career,Indiana,Big Ten,SR,QB,38,593,983,60.3,7879,8,8.3,61,20,144.1,2015,Indiana,Big Ten,SR,QB,12,247,412,60,3573,8.7,9.2,27,7,151,135,132,1,8,0,0,,0,135,132,1,8
